Comp_OID,Symbolic_name,CodingSystemName,SubmitterFirst,SubmitterLast,Submitter_Email,Submitter2,Contact_person_desc,Contact_person_address,Contact_person_phone,Contact_person_email,Contact_person_info,Resp_body_name,Resp_body_address,Resp_body_phone,Resp_body_email,Resp_body_URL,Resp_body_Type,Resp_body_oid,External_OID_flag,externalOIDsubType,replacedBy,Oid_Type,assignment_status,AA_OID,AA_description,Object_description,Date_begun,Date_finalized,Entry_Timestamp,T396mnemonic,Preferred_Realm
2.16.840.1.113883.11.13688,PathologySpecialistOrTechnologistHIPAA,PathologySpecialistOrTechnologistHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"(1) An individual educated and trained in clinical chemistry, microbiology or other biological sciences;                           and in gathering data on the blood, tissues, and fluids in the human body. Tests and procedures performed or supervised center on major areas of hematology, microbiology, immunohematology, immunology, clinical chemistry and urinalysis. Education and certification requires the equivalent of an associate degree and alternative combinations of accredited training and experience. (2) A specially trained individual who works under the direction of a pathologist, other physician, or scientist, and performs specialized chemical, microscopic, and bacteriological tests of human blood, tissue, and fluids. Also known as medical technologists, they perform and supervise tests and procedures in clinical chemistry, immunology, serology, bacteriology, hematology, parasitology, mycology, urinalysis, and blood banking., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13700,CardiologyTechnicianHIPAA,CardiologyTechnicianHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"An individual who has knowledge of specific techniques, instruments, and equipment required in performing specific cardiovascular/peripheral vascular diagnostic procedures., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13703,HealthInformationTechnicianHIPAA,HealthInformationTechnicianHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Preferred term for an Accredited Record Technician who is an individual with an associate?s degree from an accredited college or independent study program who is skilled in analyzing health information and in examination of medical records for accuracy, reporting of patient data for reimbursement, and creation of disease registries for researchers., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13705,OtherTechnologistOrTechnicianProviderHIPAA,OtherTechnologistOrTechnicianProviderHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A collective term for persons with specialized training in various narrow fields of expertise whose occupations require training and skills in specific technical processes and procedures; and where further classification is deemed unnecessary by the user., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13711,PathologyTechnicianHIPAA,PathologyTechnicianHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"An individual with knowledge of specific techniques and instruments who performs all of the routine tests in a medical laboratory and who has the ability to discriminate between similar factors that directly affect procedures and results., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13715,OrganizationalHealthcareProviderHIPAA,OrganizationalHealthcareProviderHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"No description, Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13716,AbstractHealthcareProviderAgencyHIPAA,AbstractHealthcareProviderAgencyHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A non-facility provider that renders outpatient outreach services that are not provided at a specific location. The licensure or registration is assigned to the agency rather than to the individual practitioners as would be the case in a group practice., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13717,HealthcareProviderAgencyHIPAA,HealthcareProviderAgencyHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A non-facility provider that renders outpatient outreach services that are not provided at a specific location. The licensure or registration is assigned to the agency rather than to the individual practitioners as would be the case in a group practice., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13725,AmbulatoryHealthCareFacilityHIPAA,AmbulatoryHealthCareFacilityHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"No description, Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13726,AmbulatoryClinicOrCenterHIPAA,AmbulatoryClinicOrCenterHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A facility or distinct part of one used for the diagnosis and treatment of outpatients. ""Clinic/center"" is irregularly defined, either including or excluding physician?s offices and allied health professionals, sometimes being limited to organizations serving specialized treatment requirements or distinct patient/client groups (e.g. radiology, poor, public health)., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13808,LaboratoryHIPAA,LaboratoryHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A room or building equipped for scientific experimentation, research, testing, or clinical studies of materials, fluids, or tissues obtained from patients., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13812,ManagedCareOrganizationHIPAA,ManagedCareOrganizationHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"No description, Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13833,SupplierHIPAA,SupplierHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A provider, other than a pharmacy, who supplies healthcare related products. The term supplier also includes pharmacies., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13835,DurableMedicalEquipmentAndOrMedicalSupplySupplierHIPAA,DurableMedicalEquipmentAndOrMedicalSupplySupplierHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A supplier of medical equipment such as respirators, wheelchairs, home dialysis systems, or monitoring systems, that are prescribed by a physician for a patient?s use in the home and that are usable for an extended period of time., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13849,TransportationServiceHIPAA,TransportationServiceHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A provider who moves a patient, tissue specimen or equipment from one location to another., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13850,AmbulanceHIPAA,AmbulanceHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane)., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.16460,DentalServiceProviderHIPAA,DentalServiceProviderHIPAA,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Broad category to identify practitioners licensed by the State who render services related the practice of dentistry. The Practice of Dentistry means the diagnosis, treatment, prescription, or operation for a disease, pain, deformity, deficiency, injury or physical condition of the human tooth, teeth, alveolar process, gums or jaws, or their dependent tissues, or an offer, undertaking, attempt to do, or holding oneself out to do any other these acts., Based on HealthcareProviderTaxonomyHIPAA", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10034,HL7CommitteeIDInRIM,HL7CommitteeIDInRIM,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Holds the codes used to identify the committees and SIGS of HL7 in RIM repository tables., Based on HL7CommitteeIDInRIM", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10010,HL7ConformanceInclusion,HL7ConformanceInclusion,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"These concepts represent theconformance requirments defined for including or valuing an element of an HL7 message.  The concepts apply equally to conformance profiles  defined for Version 2.x messgaes as defined by the Conformance SIG, and to the conformance columns for Version 3 messages as specified in the HMD., Based on HL7ConformanceInclusion", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10012,InclusionNotMandatory,InclusionNotMandatory,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"The message element is not mandatory, but its appearance may be constrained by one of the non-mandatory concepts., Based on HL7ConformanceInclusion", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10015,InclusionNotRequired,InclusionNotRequired,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"The message element may be populated or used by one system sponsor (or profile), but not by another.  Each system sponsor or profile is required to state the ability to accept or send the message element as part of a conformance claim., Based on HL7ConformanceInclusion", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10083,HL7DefinedRoseProperty,HL7DefinedRoseProperty,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"The property Ids that HL7 has defined for customizing Rational Rose., Based on HL7DefinedRoseProperty", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10018,HL7UpdateMode,HL7UpdateMode,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"The possible modes of updating that occur when an attribute is received by a system that already contains values for that attribute., Based on HL7UpdateMode", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10024,SetUpdateMode,SetUpdateMode,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"These concepts apply when the element and/or message is updating a set of items., Based on HL7UpdateMode", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.11017,HtmlLinkType,HtmlLinkType,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"HtmlLinkType values are drawn from HTML 4.0 and describe the relationship between the current document and the anchor that is the target of the link, Based on HtmlLinkType", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.11527,actClass,ActClass,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"This is a value set built on the HL7 Structural code system Act Class.<p>A code specifying the major type of Act that this Act-instance represents.</p><p><i>Constraints:</i> The classCode domain is a tightly controlled vocabulary, not an external or user-defined vocabulary. </p><p>Every Act-instance must have a classCode. If the act class is not further specified, the most general Act.classCode (ACT) is used.</p><p>The Act.classCode must be a generalization of the specific Act concept (e.g. as expressed in Act.code), in other words, the Act concepts conveyed in an Act must be specializations of the Act.classCode. Especially, Act.code is not a ""modifier"" that can alter the meaning of a class code. (See Act.code for contrast.)</p>, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.11529,ActClassObservation,ActClassObservation,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Observations are actions performed in order to determine an answer or result value. Observation result values (Observation.value) include specific information about the observed object. The type and constraints of result values depend on the kind of action performed.Clinical documents commonly have 'Subjective' and 'Objective' findings, both of which are kinds of Observations. In addition, clinical documents commonly contain 'Assessments', which are also kinds of Observations. Thus, the establishment of a diagnosis is an Observation., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.11530,ActClassPublicHealthCase,ActClassPublicHealthCase,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A public health case is an Observation representing a condition or event that has a specific significance for public health. Typically it involves an instance or instances of a reportable infectious disease or other condition. The public health case can include a health-related event concerning a single individual or it may refer to multiple health-related events that are occurrences of the same disease or condition of interest to public health. An outbreak involving multiple individuals may be considered as a type of public health case. A public health case definition (Act.moodCode = ""definition"") includes the description of the clinical, laboratory, and epidemiologic indicators associated with a disease or condition of interest to public health. There are case definitions for conditions that are reportable, as well as for those that are not. There are also case definitions for outbreaks. A public health case definition is a construct used by public health for the purpose of counting cases, and should not be used as clinical indications for treatment. Examples include AIDS, toxic-shock syndrome, and salmonellosis and their associated indicators that are used to define a case., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.11534,ActClassControlAct,ActClassControlAct,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"An act representing a system action such as the change of state of another act or the initiation of a query.  All control acts represent trigger events in the HL7 context.  ControlActs may occur in different moods., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.11535,ActClassSupply,ActClassSupply,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Supply orders and deliveries are simple Acts that focus on the delivered product. The product is associated with the Supply Act via Participation.typeCode=""product"". With general Supply Acts, the precise identification of the Material (manufacturer, serial numbers, etc.) is important.  Most of the detailed information about the Supply should be represented using the Material class.  If delivery needs to be scheduled, tracked, and billed separately, one can associate a Transportation Act with the Supply Act.  Pharmacy dispense services are represented as Supply Acts, associated with a SubstanceAdministration  Act. The SubstanceAdministration class represents the administration of medication, while dispensing is supply., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13856,ActClassRoot,ActClassRoot,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"An action of interest that has happened, can happen, is happening, is intended to happen, or is requested/demanded to happen. An act is an intentional action in the business domain of HL7. Healthcare (and any profession or business) is constituted of intentional actions. An Act instance is a record of such an intentional action. Any intentional action can exist in different """"moods"""".  Moods describe activities as they progress in the business cycle, from defined, through planned and ordered to complete.Any instance of an Act assumes one and only one mood and will not change its mood along its life cycle. The moods - definition, intent, order, event - seem to specify a life cycle of an activity. However, the participants in the activity in these different moods are different, as is the data. Therefore, the mood of an Act instance is static. The progression actualization (i.e., the progression from defined, through planned and ordered, to being performed) is called the """"business cycle"""" to distinguish it from the """"life cycle"""" of a single act instance. Related Act instances that form such a """"business cycle"""" are linked through the ActRelationship class.Examples for acts in health care are: a clinical test, an assessment of health condition (such as problems and diagnoses), the setting of healthcare goals, the performance of treatment services (such as medication, surgery, physical and psychological therapy), assisting, monitoring or attending, training and education services to patients and their next of kin, and notary services (such as advanced directives or living will).Acts have participants, which can be actors or targets. Examples of actors are nurses, doctors, family members, notary publics, and service organizations -- every person or organization that is capable of independent decisions and can thus is responsible (and liable) for the actions performed.Target participants in an act may include the patient, the patient's spouse, family, or community, a specimen drawn from the patient or from any object of interest. As patients do play active roles in their own healthcare, the patient can be both an active participant and a target participant at the same time (self-administered or reflexive services). An act can have multiple active participants and multiple target participants, their specific role being distinguished in the """"typeCode"""" of the respective instance of the Participation class. In particular, an act involving coordination of care may involve two or more active participants -- playing different roles -- who interact on behalf of a patient, family, or aggregate in the role of target participant. For example, a nurse (active participant) calls Meals on Wheels (active participant) on behalf of the patient (target participant).An act includes the """"results"""", """"answers"""" or informational """"procedure products"""" gained during the act. In this model, """"results"""" do not exist without an act, and every clinical result, including those results gained accidentally, is gleaned via an act. In other moods, such as """"definition """" or """"intent"""", the results are the possible results, the expected or aimed-for results, or the tested-for results., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.13948,ActClassClinicalDocument,ActClassClinicalDocument,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A clinical document is a documentation of clinical observations and services, with the following characteristics: (1) Persistence - A clinical document continues to exist in an unaltered state, for a time period defined by local and regulatory requirements; (2) Stewardship - A clinical document is maintained by a person or organization entrusted with its care; (3) Potential for authentication - A clinical document is an assemblage of information that is intended to be legally authenticated; (4) Wholeness - Authentication of a clinical document applies to the whole and does not apply to portions of the document without the full context of the document; (5) Human readability - A clinical document is human readable."", Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.14002,ActClassContract,ActClassContract,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"An agreement of obligation between two or more parties that is subject to contractual law and enforcement., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.14003,ActClassFinancialContract,ActClassFinancialContract,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A contract whose value is measured in monetary terms., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.17893,ActClassROI,ActClassROI,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Regions of Interest (ROI) within a subject Act. Primarily used for making secondary observations on a subset of a subject observation. The relationship between a ROI and its referenced Act is specified through an ActRelationship of type ""subject"" (SUBJ), which must always be present., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.18875,ActClassObservationSeries,ActClassObservationSeries,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Container for Correlated Observation Sequences sharing a common frame of reference.  All Observations of the same cd must be comparable and relative to the common frame of reference.  For example, a 3-channel ECG device records a 12-lead ECG in 4 steps (3 leads at a time).  Each of the separate 3-channel recordings would be in their own ""OBSCOR"".  And, all 4 OBSCOR would be contained in one OBSSER because all the times are relative to the same origin (beginning of the recording) and all the ECG signals were from a fixed set of electrodes., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.18938,ActClassDocument,ActClassDocument,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Specialization of Act to add the characteristics unique to document management services., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19441,ActClassExtract,ActClassExtract,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>This context represents the part of a patient record conveyed in a single communication. It is drawn from a providing system for the purposes of communication to a requesting process (which might be another repository, a client application or a middleware service such as an electronic guideline engine), and supporting the faithful inclusion of the communicated data in the receiving system.</p><p>An extract may be the entirety of the patient record as held by the sender or it may be a part of that record (e.g. changes since a specified date).</p><p>An extract contains folders or compositions.</p><p>An extract cannot contain another extract.</p>, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19442,ActClassComposition,ActClassComposition,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>A context representing a grouped commitment of information to the EHR. It is considered the unit of modification of the record, the unit of transmission in record extracts, and the unit of attestation by authorizing clinicians.</p><p>A composition represents part of a patient record originating from a single interaction between an authenticator and the record.</p><p>Unless otherwise stated all statements within a composition have the same authenticator, apply to the same patient and were recorded in a single session of use of a single application.</p><p>A composition contains organizers and entries.</p>, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19443,ActClassOrganizer,ActClassOrganizer,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>Organizer of entries. Navigational. No semantic content. Knowledge of the section code is not required to interpret contained observations. Represents a heading in a heading structure, or ""organizer tree"".</p><p>The record entries relating to a single clinical session are usually grouped under headings that represent phases of the encounter, or assist with layout and navigation. Clinical headings usually reflect the clinical workflow during a care session, and might also reflect the main author's reasoning processes. Much research has demonstrated that headings are used differently by different professional groups and specialties, and that headings are not used consistently enough to support safe automatic processing of the E H R.</p>, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19444,ActClassEntry,ActClassEntry,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"This context represents the information acquired and recorded for an observation, a clinical statement such as a portion of the patient's history or an inference or assertion, or an action that might be intended or has actually been performed. This class may represent both the actual data describing the observation, inference, or action, and optionally the details supporting the clinical reasoning process such as a reference to an electronic guideline, decision support system, or other knowledge reference., Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19445,ActClassContainer,ActClassContainer,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>Used to group a set of acts sharing a common context. Container structures can nest within other context structures - such as where a document is contained within a folder, or a folder is contained within an EHR extract.</p><p>						<b>Open issue: </b> There is a clear conflict between this act and the use of the more  general ""component"" ActRelationship.  The question that must be resolved is what should be the class code of the parent (or containing) Act.</p>, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19580,ActClassCondition,ActClassCondition,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"An observable finding or state that persists over time and tends to require intervention or management, and, therefore, distinguished from an Observation made at a point in time; may exist before an Observation of the Condition is made or after interventions to manage the Condition are undertaken. Examples: equipment repair status, device recall status, a health risk, a financial risk, public health risk, pregnancy, health maintenance, chronic illness, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19598,x_ActClassDocumentEntryOrganizer,x_ActClassDocumentEntryOrganizer,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"No description, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19599,x_ActClassDocumentEntryAct,x_ActClassDocumentEntryAct,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"No description, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19657,x_LabProcessClassCodes,x_LabProcessClassCodes,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"No description, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19665,ActClassProcedure,ActClassProcedure,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>################</p>, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.19666,ActClassSpecimenCollection,ActClassSpecimenCollection,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>A procedure for obtaining a specimen from a source entity.</p>, Based on ActClass", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.12249,LanguageAbilityMode,LanguageAbilityMode,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>A value representing the method of expression of the language.</p><p><i>Example:</i>Expressed spoken, expressed written, expressed signed, received spoken, received written, received signed.</p>, Based on LanguageAbilityMode", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.12199,LanguageAbilityProficiency,LanguageAbilityProficiency,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>A value representing the level of proficiency in a language.</p><p><i>Example:</i>Excellent, good, fair, poor.</p>, Based on LanguageAbilityProficiency", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10189,Institution,Institution,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Institution, Based on LivingArrangement", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.220,LivingArrangement,LivingArrangement,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"A code depicting the living arrangements of a person, Based on LivingArrangement", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10975,LocalMarkupIgnore,LocalMarkupIgnore,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"Tells a receiver to ignore just the local markup tags (local_markup, local_header, local_attr) when value=""markup"", or to ignore the local markup tags and all contained content when value=""all"", Based on LocalMarkupIgnore", ,12/10/2005 12:00,12/10/2005 12:00,,UV
2.16.840.1.113883.11.10893,LocalRemoteControlState,LocalRemoteControlState,,,masked,,,,,masked,,HL7,,,,http://www.hl7.org,SDO,2.16.840.1.113883,INT,,,11,Complete,2.16.840.1.113883,,"<p>A value representing the current state of control associated with the device. </p><p><i>Examples:</i> A device can either work autonomously (localRemoteControlStateCode=""Local"") or it can be controlled by another system (localRemoteControlStateCode=""Remote"").</p><p><i>Rationale:</i>  The control status of  a device must be communicated between devices prior to remote commands being transmitted.  If the device is not in ""Remote"" status then external commands will be ignored.</p>, Based on LocalRemoteControlState", ,12/10/2005 12:00,12/10/2005 12:00,,UV
